passengerCount,WIFIAPTag,slice10min
6.3,E1-1A-2<E1-1-02>,2016-09-25-16-5
5.6,E1-1A-2<E1-1-02>,2016-09-25-17-0
5.2,E1-1A-2<E1-1-02>,2016-09-25-17-1
6.6,E1-1A-2<E1-1-02>,2016-09-25-17-2
7.3,E1-1A-2<E1-1-02>,2016-09-25-17-3
8.5,E1-1A-2<E1-1-02>,2016-09-25-17-4
10.1,E1-1A-2<E1-1-02>,2016-09-25-17-5
11.8,E1-1A-2<E1-1-02>,2016-09-25-18-0
10.1,E1-1A-2<E1-1-02>,2016-09-25-18-1
9.4,E1-1A-2<E1-1-02>,2016-09-25-18-2
7.6,E1-1A-2<E1-1-02>,2016-09-25-18-3
6.9,E1-1A-2<E1-1-02>,2016-09-25-18-4
6.6,E1-1A-2<E1-1-02>,2016-09-25-18-5
11.8,E1-1A-3<E1-1-03>,2016-09-25-15-0
13.1,E1-1A-3<E1-1-03>,2016-09-25-15-1
14.8,E1-1A-3<E1-1-03>,2016-09-25-15-2
15.5,E1-1A-3<E1-1-03>,2016-09-25-15-3
15.6,E1-1A-3<E1-1-03>,2016-09-25-15-4
16.4,E1-1A-3<E1-1-03>,2016-09-25-15-5
16.7,E1-1A-3<E1-1-03>,2016-09-25-16-0
17.8,E1-1A-3<E1-1-03>,2016-09-25-16-1
16.5,E1-1A-3<E1-1-03>,2016-09-25-16-2
14.3,E1-1A-3<E1-1-03>,2016-09-25-16-3
11.5,E1-1A-3<E1-1-03>,2016-09-25-16-4
9.5,E1-1A-3<E1-1-03>,2016-09-25-16-5
10.2,E1-1A-3<E1-1-03>,2016-09-25-17-0
10.4,E1-1A-3<E1-1-03>,2016-09-25-17-1
12.1,E1-1A-3<E1-1-03>,2016-09-25-17-2
13.4,E1-1A-3<E1-1-03>,2016-09-25-17-3
15.4,E1-1A-3<E1-1-03>,2016-09-25-17-4
17.1,E1-1A-3<E1-1-03>,2016-09-25-17-5
19.7,E1-1A-3<E1-1-03>,2016-09-25-18-0
19.6,E1-1A-3<E1-1-03>,2016-09-25-18-1
15.4,E1-1A-3<E1-1-03>,2016-09-25-18-2
12.8,E1-1A-3<E1-1-03>,2016-09-25-18-3
10.3,E1-1A-3<E1-1-03>,2016-09-25-18-4
12.0,E1-1A-3<E1-1-03>,2016-09-25-18-5
5.5,E1-1A-4<E1-1-04>,2016-09-25-15-0
6.6,E1-1A-4<E1-1-04>,2016-09-25-15-1
7.3,E1-1A-4<E1-1-04>,2016-09-25-15-2
8.6,E1-1A-4<E1-1-04>,2016-09-25-15-3
8.7,E1-1A-4<E1-1-04>,2016-09-25-15-4
9.7,E1-1A-4<E1-1-04>,2016-09-25-15-5
9.8,E1-1A-4<E1-1-04>,2016-09-25-16-0
9.7,E1-1A-4<E1-1-04>,2016-09-25-16-1
9.7,E1-1A-4<E1-1-04>,2016-09-25-16-2
8.5,E1-1A-4<E1-1-04>,2016-09-25-16-3
7.5,E1-1A-4<E1-1-04>,2016-09-25-16-4
6.1,E1-1A-4<E1-1-04>,2016-09-25-16-5
6.5,E1-1A-4<E1-1-04>,2016-09-25-17-0
7.3,E1-1A-4<E1-1-04>,2016-09-25-17-1
8.4,E1-1A-4<E1-1-04>,2016-09-25-17-2
9.0,E1-1A-4<E1-1-04>,2016-09-25-17-3
11.8,E1-1A-4<E1-1-04>,2016-09-25-17-4
13.3,E1-1A-4<E1-1-04>,2016-09-25-17-5
13.8,E1-1A-4<E1-1-04>,2016-09-25-18-0
13.7,E1-1A-4<E1-1-04>,2016-09-25-18-1
11.8,E1-1A-4<E1-1-04>,2016-09-25-18-2
9.2,E1-1A-4<E1-1-04>,2016-09-25-18-3
7.0,E1-1A-4<E1-1-04>,2016-09-25-18-4
7.7,E1-1A-4<E1-1-04>,2016-09-25-18-5
1.1,E1-1A-5<E1-1-05>,2016-09-25-15-0
0.9,E1-1A-5<E1-1-05>,2016-09-25-15-1
0.8,E1-1A-5<E1-1-05>,2016-09-25-15-2
1.2,E1-1A-5<E1-1-05>,2016-09-25-15-3
1.2,E1-1A-5<E1-1-05>,2016-09-25-15-4
1.2,E1-1A-5<E1-1-05>,2016-09-25-15-5
1.3,E1-1A-5<E1-1-05>,2016-09-25-16-0
1.4,E1-1A-5<E1-1-05>,2016-09-25-16-1
2.3,E1-1A-5<E1-1-05>,2016-09-25-16-2
1.9,E1-1A-5<E1-1-05>,2016-09-25-16-3
1.3,E1-1A-5<E1-1-05>,2016-09-25-16-4
1.5,E1-1A-5<E1-1-05>,2016-09-25-16-5
1.3,E1-1A-5<E1-1-05>,2016-09-25-17-0
1.3,E1-1A-5<E1-1-05>,2016-09-25-17-1
0.6,E1-1A-5<E1-1-05>,2016-09-25-17-2
1.1,E1-1A-5<E1-1-05>,2016-09-25-17-3
1.3,E1-1A-5<E1-1-05>,2016-09-25-17-4
1.2,E1-1A-5<E1-1-05>,2016-09-25-17-5
1.7,E1-1A-5<E1-1-05>,2016-09-25-18-0
2.0,E1-1A-5<E1-1-05>,2016-09-25-18-1
1.5,E1-1A-5<E1-1-05>,2016-09-25-18-2
1.6,E1-1A-5<E1-1-05>,2016-09-25-18-3
1.3,E1-1A-5<E1-1-05>,2016-09-25-18-4
1.0,E1-1A-5<E1-1-05>,2016-09-25-18-5
5.0,E1-1A-6<E1-1-06>,2016-09-25-15-0
5.0,E1-1A-6<E1-1-06>,2016-09-25-15-1
5.3,E1-1A-6<E1-1-06>,2016-09-25-15-2
5.7,E1-1A-6<E1-1-06>,2016-09-25-15-3
5.8,E1-1A-6<E1-1-06>,2016-09-25-15-4
5.3,E1-1A-6<E1-1-06>,2016-09-25-15-5
5.2,E1-1A-6<E1-1-06>,2016-09-25-16-0
6.2,E1-1A-6<E1-1-06>,2016-09-25-16-1
6.3,E1-1A-6<E1-1-06>,2016-09-25-16-2
6.0,E1-1A-6<E1-1-06>,2016-09-25-16-3
5.9,E1-1A-6<E1-1-06>,2016-09-25-16-4
5.7,E1-1A-6<E1-1-06>,2016-09-25-16-5
6.0,E1-1A-6<E1-1-06>,2016-09-25-17-0
5.7,E1-1A-6<E1-1-06>,2016-09-25-17-1
5.8,E1-1A-6<E1-1-06>,2016-09-25-17-2
5.7,E1-1A-6<E1-1-06>,2016-09-25-17-3
5.3,E1-1A-6<E1-1-06>,2016-09-25-17-4
5.5,E1-1A-6<E1-1-06>,2016-09-25-17-5
5.3,E1-1A-6<E1-1-06>,2016-09-25-18-0
5.6,E1-1A-6<E1-1-06>,2016-09-25-18-1
5.2,E1-1A-6<E1-1-06>,2016-09-25-18-2
4.2,E1-1A-6<E1-1-06>,2016-09-25-18-3
4.8,E1-1A-6<E1-1-06>,2016-09-25-18-4
5.5,E1-1A-6<E1-1-06>,2016-09-25-18-5
0.8,E1-2A<E1-2-07>,2016-09-25-15-0
0.8,E1-2A<E1-2-07>,2016-09-25-15-1
0.8,E1-2A<E1-2-07>,2016-09-25-15-2
0.6,E1-2A<E1-2-07>,2016-09-25-15-3
0.5,E1-2A<E1-2-07>,2016-09-25-15-4
0.5,E1-2A<E1-2-07>,2016-09-25-15-5
0.5,E1-2A<E1-2-07>,2016-09-25-16-0
0.5,E1-2A<E1-2-07>,2016-09-25-16-1
0.6,E1-2A<E1-2-07>,2016-09-25-16-2
0.7,E1-2A<E1-2-07>,2016-09-25-16-3
0.9,E1-2A<E1-2-07>,2016-09-25-16-4
0.7,E1-2A<E1-2-07>,2016-09-25-16-5
1.0,E1-2A<E1-2-07>,2016-09-25-17-0
0.9,E1-2A<E1-2-07>,2016-09-25-17-1
0.6,E1-2A<E1-2-07>,2016-09-25-17-2
0.9,E1-2A<E1-2-07>,2016-09-25-17-3
0.6,E1-2A<E1-2-07>,2016-09-25-17-4
0.5,E1-2A<E1-2-07>,2016-09-25-17-5
0.4,E1-2A<E1-2-07>,2016-09-25-18-0
0.3,E1-2A<E1-2-07>,2016-09-25-18-1
0.2,E1-2A<E1-2-07>,2016-09-25-18-2
0.3,E1-2A<E1-2-07>,2016-09-25-18-3
0.5,E1-2A<E1-2-07>,2016-09-25-18-4
0.3,E1-2A<E1-2-07>,2016-09-25-18-5
2.3,E1-2A<E1-2-09>,2016-09-25-15-0
2.5,E1-2A<E1-2-09>,2016-09-25-15-1
2.6,E1-2A<E1-2-09>,2016-09-25-15-2
1.9,E1-2A<E1-2-09>,2016-09-25-15-3
1.9,E1-2A<E1-2-09>,2016-09-25-15-4
2.2,E1-2A<E1-2-09>,2016-09-25-15-5
2.4,E1-2A<E1-2-09>,2016-09-25-16-0
2.5,E1-2A<E1-2-09>,2016-09-25-16-1
2.5,E1-2A<E1-2-09>,2016-09-25-16-2
2.1,E1-2A<E1-2-09>,2016-09-25-16-3
3.5,E1-2A<E1-2-09>,2016-09-25-16-4
3.6,E1-2A<E1-2-09>,2016-09-25-16-5
4.0,E1-2A<E1-2-09>,2016-09-25-17-0
5.9,E1-2A<E1-2-09>,2016-09-25-17-1
5.5,E1-2A<E1-2-09>,2016-09-25-17-2
6.8,E1-2A<E1-2-09>,2016-09-25-17-3
6.8,E1-2A<E1-2-09>,2016-09-25-17-4
5.6,E1-2A<E1-2-09>,2016-09-25-17-5
3.3,E1-2A<E1-2-09>,2016-09-25-18-0
3.0,E1-2A<E1-2-09>,2016-09-25-18-1
2.4,E1-2A<E1-2-09>,2016-09-25-18-2
1.8,E1-2A<E1-2-09>,2016-09-25-18-3
1.5,E1-2A<E1-2-09>,2016-09-25-18-4
1.1,E1-2A<E1-2-09>,2016-09-25-18-5
3.7,E1-2A<E1-2-10>,2016-09-25-15-0
4.0,E1-2A<E1-2-10>,2016-09-25-15-1
3.9,E1-2A<E1-2-10>,2016-09-25-15-2
3.1,E1-2A<E1-2-10>,2016-09-25-15-3
3.4,E1-2A<E1-2-10>,2016-09-25-15-4
5.8,E1-2A<E1-2-10>,2016-09-25-15-5
7.5,E1-2A<E1-2-10>,2016-09-25-16-0
7.5,E1-2A<E1-2-10>,2016-09-25-16-1
7.8,E1-2A<E1-2-10>,2016-09-25-16-2
5.9,E1-2A<E1-2-10>,2016-09-25-16-3
5.1,E1-2A<E1-2-10>,2016-09-25-16-4
4.7,E1-2A<E1-2-10>,2016-09-25-16-5
6.4,E1-2A<E1-2-10>,2016-09-25-17-0
7.2,E1-2A<E1-2-10>,2016-09-25-17-1
10.0,E1-2A<E1-2-10>,2016-09-25-17-2
12.6,E1-2A<E1-2-10>,2016-09-25-17-3
11.8,E1-2A<E1-2-10>,2016-09-25-17-4
11.8,E1-2A<E1-2-10>,2016-09-25-17-5
11.0,E1-2A<E1-2-10>,2016-09-25-18-0
10.0,E1-2A<E1-2-10>,2016-09-25-18-1
9.1,E1-2A<E1-2-10>,2016-09-25-18-2
6.0,E1-2A<E1-2-10>,2016-09-25-18-3
3.7,E1-2A<E1-2-10>,2016-09-25-18-4
3.8,E1-2A<E1-2-10>,2016-09-25-18-5
4.2,E1-2A<E1-2-11>,2016-09-25-15-0
4.4,E1-2A<E1-2-11>,2016-09-25-15-1
4.0,E1-2A<E1-2-11>,2016-09-25-15-2
3.1,E1-2A<E1-2-11>,2016-09-25-15-3
3.6,E1-2A<E1-2-11>,2016-09-25-15-4
3.9,E1-2A<E1-2-11>,2016-09-25-15-5
3.5,E1-2A<E1-2-11>,2016-09-25-16-0
3.3,E1-2A<E1-2-11>,2016-09-25-16-1
3.4,E1-2A<E1-2-11>,2016-09-25-16-2
3.8,E1-2A<E1-2-11>,2016-09-25-16-3
5.0,E1-2A<E1-2-11>,2016-09-25-16-4
4.4,E1-2A<E1-2-11>,2016-09-25-16-5
4.8,E1-2A<E1-2-11>,2016-09-25-17-0
4.4,E1-2A<E1-2-11>,2016-09-25-17-1
3.7,E1-2A<E1-2-11>,2016-09-25-17-2
3.9,E1-2A<E1-2-11>,2016-09-25-17-3
3.5,E1-2A<E1-2-11>,2016-09-25-17-4
3.1,E1-2A<E1-2-11>,2016-09-25-17-5
2.8,E1-2A<E1-2-11>,2016-09-25-18-0
3.0,E1-2A<E1-2-11>,2016-09-25-18-1
3.1,E1-2A<E1-2-11>,2016-09-25-18-2
3.2,E1-2A<E1-2-11>,2016-09-25-18-3
3.3,E1-2A<E1-2-11>,2016-09-25-18-4
2.9,E1-2A<E1-2-11>,2016-09-25-18-5
1.3,E1-2A<E1-2A-02>,2016-09-25-15-0
1.4,E1-2A<E1-2A-02>,2016-09-25-15-1
1.4,E1-2A<E1-2A-02>,2016-09-25-15-2
0.7,E1-2A<E1-2A-02>,2016-09-25-15-3
0.9,E1-2A<E1-2A-02>,2016-09-25-15-4
1.1,E1-2A<E1-2A-02>,2016-09-25-15-5
1.1,E1-2A<E1-2A-02>,2016-09-25-16-0
0.9,E1-2A<E1-2A-02>,2016-09-25-16-1
0.8,E1-2A<E1-2A-02>,2016-09-25-16-2
0.8,E1-2A<E1-2A-02>,2016-09-25-16-3
1.2,E1-2A<E1-2A-02>,2016-09-25-16-4
0.9,E1-2A<E1-2A-02>,2016-09-25-16-5
1.1,E1-2A<E1-2A-02>,2016-09-25-17-0
1.2,E1-2A<E1-2A-02>,2016-09-25-17-1
0.8,E1-2A<E1-2A-02>,2016-09-25-17-2
1.6,E1-2A<E1-2A-02>,2016-09-25-17-3
0.8,E1-2A<E1-2A-02>,2016-09-25-17-4
0.5,E1-2A<E1-2A-02>,2016-09-25-17-5
0.3,E1-2A<E1-2A-02>,2016-09-25-18-0
0.3,E1-2A<E1-2A-02>,2016-09-25-18-1
0.7,E1-2A<E1-2A-02>,2016-09-25-18-2
0.7,E1-2A<E1-2A-02>,2016-09-25-18-3
0.6,E1-2A<E1-2A-02>,2016-09-25-18-4
0.5,E1-2A<E1-2A-02>,2016-09-25-18-5
1.3,E1-2A<E1-2A-06>,2016-09-25-15-0
1.2,E1-2A<E1-2A-06>,2016-09-25-15-1
0.7,E1-2A<E1-2A-06>,2016-09-25-15-2
0.5,E1-2A<E1-2A-06>,2016-09-25-15-3
0.8,E1-2A<E1-2A-06>,2016-09-25-15-4
0.8,E1-2A<E1-2A-06>,2016-09-25-15-5
0.7,E1-2A<E1-2A-06>,2016-09-25-16-0
0.6,E1-2A<E1-2A-06>,2016-09-25-16-1
0.7,E1-2A<E1-2A-06>,2016-09-25-16-2
0.6,E1-2A<E1-2A-06>,2016-09-25-16-3
1.1,E1-2A<E1-2A-06>,2016-09-25-16-4
0.7,E1-2A<E1-2A-06>,2016-09-25-16-5
1.3,E1-2A<E1-2A-06>,2016-09-25-17-0
1.2,E1-2A<E1-2A-06>,2016-09-25-17-1
0.9,E1-2A<E1-2A-06>,2016-09-25-17-2
0.9,E1-2A<E1-2A-06>,2016-09-25-17-3
0.6,E1-2A<E1-2A-06>,2016-09-25-17-4
0.3,E1-2A<E1-2A-06>,2016-09-25-17-5
0.5,E1-2A<E1-2A-06>,2016-09-25-18-0
0.4,E1-2A<E1-2A-06>,2016-09-25-18-1
0.6,E1-2A<E1-2A-06>,2016-09-25-18-2
0.6,E1-2A<E1-2A-06>,2016-09-25-18-3
0.7,E1-2A<E1-2A-06>,2016-09-25-18-4
0.7,E1-2A<E1-2A-06>,2016-09-25-18-5
2.8,E1-2B<E1-2-04>,2016-09-25-15-0
2.9,E1-2B<E1-2-04>,2016-09-25-15-1
2.6,E1-2B<E1-2-04>,2016-09-25-15-2
2.5,E1-2B<E1-2-04>,2016-09-25-15-3
2.1,E1-2B<E1-2-04>,2016-09-25-15-4
2.1,E1-2B<E1-2-04>,2016-09-25-15-5
1.3,E1-2B<E1-2-04>,2016-09-25-16-0
1.3,E1-2B<E1-2-04>,2016-09-25-16-1
1.6,E1-2B<E1-2-04>,2016-09-25-16-2
1.9,E1-2B<E1-2-04>,2016-09-25-16-3
2.3,E1-2B<E1-2-04>,2016-09-25-16-4
2.1,E1-2B<E1-2-04>,2016-09-25-16-5
2.4,E1-2B<E1-2-04>,2016-09-25-17-0
1.6,E1-2B<E1-2-04>,2016-09-25-17-1
1.1,E1-2B<E1-2-04>,2016-09-25-17-2
1.3,E1-2B<E1-2-04>,2016-09-25-17-3
0.9,E1-2B<E1-2-04>,2016-09-25-17-4
1.0,E1-2B<E1-2-04>,2016-09-25-17-5
0.9,E1-2B<E1-2-04>,2016-09-25-18-0
1.0,E1-2B<E1-2-04>,2016-09-25-18-1
1.3,E1-2B<E1-2-04>,2016-09-25-18-2
1.3,E1-2B<E1-2-04>,2016-09-25-18-3
1.1,E1-2B<E1-2-04>,2016-09-25-18-4
1.1,E1-2B<E1-2-04>,2016-09-25-18-5
2.9,E1-2B<E1-2B-02>,2016-09-25-15-0
3.1,E1-2B<E1-2B-02>,2016-09-25-15-1
2.5,E1-2B<E1-2B-02>,2016-09-25-15-2
2.5,E1-2B<E1-2B-02>,2016-09-25-15-3
2.3,E1-2B<E1-2B-02>,2016-09-25-15-4
2.6,E1-2B<E1-2B-02>,2016-09-25-15-5
2.5,E1-2B<E1-2B-02>,2016-09-25-16-0
2.7,E1-2B<E1-2B-02>,2016-09-25-16-1
2.8,E1-2B<E1-2B-02>,2016-09-25-16-2
3.0,E1-2B<E1-2B-02>,2016-09-25-16-3
3.0,E1-2B<E1-2B-02>,2016-09-25-16-4
2.7,E1-2B<E1-2B-02>,2016-09-25-16-5
3.0,E1-2B<E1-2B-02>,2016-09-25-17-0
2.8,E1-2B<E1-2B-02>,2016-09-25-17-1
2.2,E1-2B<E1-2B-02>,2016-09-25-17-2
2.6,E1-2B<E1-2B-02>,2016-09-25-17-3
2.0,E1-2B<E1-2B-02>,2016-09-25-17-4
2.1,E1-2B<E1-2B-02>,2016-09-25-17-5
2.2,E1-2B<E1-2B-02>,2016-09-25-18-0
2.1,E1-2B<E1-2B-02>,2016-09-25-18-1
2.5,E1-2B<E1-2B-02>,2016-09-25-18-2
2.6,E1-2B<E1-2B-02>,2016-09-25-18-3
2.3,E1-2B<E1-2B-02>,2016-09-25-18-4
2.3,E1-2B<E1-2B-02>,2016-09-25-18-5
1.9,E1-2B<E1-2B-03>,2016-09-25-15-0
2.1,E1-2B<E1-2B-03>,2016-09-25-15-1
1.6,E1-2B<E1-2B-03>,2016-09-25-15-2
1.5,E1-2B<E1-2B-03>,2016-09-25-15-3
1.6,E1-2B<E1-2B-03>,2016-09-25-15-4
1.7,E1-2B<E1-2B-03>,2016-09-25-15-5
1.7,E1-2B<E1-2B-03>,2016-09-25-16-0
1.6,E1-2B<E1-2B-03>,2016-09-25-16-1
1.8,E1-2B<E1-2B-03>,2016-09-25-16-2
2.5,E1-2B<E1-2B-03>,2016-09-25-16-3
3.7,E1-2B<E1-2B-03>,2016-09-25-16-4
2.6,E1-2B<E1-2B-03>,2016-09-25-16-5
3.2,E1-2B<E1-2B-03>,2016-09-25-17-0
3.2,E1-2B<E1-2B-03>,2016-09-25-17-1
3.0,E1-2B<E1-2B-03>,2016-09-25-17-2
2.9,E1-2B<E1-2B-03>,2016-09-25-17-3
2.6,E1-2B<E1-2B-03>,2016-09-25-17-4
1.8,E1-2B<E1-2B-03>,2016-09-25-17-5
1.1,E1-2B<E1-2B-03>,2016-09-25-18-0
1.2,E1-2B<E1-2B-03>,2016-09-25-18-1
1.3,E1-2B<E1-2B-03>,2016-09-25-18-2
1.2,E1-2B<E1-2B-03>,2016-09-25-18-3
1.0,E1-2B<E1-2B-03>,2016-09-25-18-4
1.1,E1-2B<E1-2B-03>,2016-09-25-18-5
5.3,E1-2C<E1-2-02>,2016-09-25-15-0
5.6,E1-2C<E1-2-02>,2016-09-25-15-1
5.3,E1-2C<E1-2-02>,2016-09-25-15-2
5.0,E1-2C<E1-2-02>,2016-09-25-15-3
4.6,E1-2C<E1-2-02>,2016-09-25-15-4
4.1,E1-2C<E1-2-02>,2016-09-25-15-5
4.0,E1-2C<E1-2-02>,2016-09-25-16-0
4.1,E1-2C<E1-2-02>,2016-09-25-16-1
4.4,E1-2C<E1-2-02>,2016-09-25-16-2
4.8,E1-2C<E1-2-02>,2016-09-25-16-3
5.1,E1-2C<E1-2-02>,2016-09-25-16-4
4.3,E1-2C<E1-2-02>,2016-09-25-16-5
4.0,E1-2C<E1-2-02>,2016-09-25-17-0
4.3,E1-2C<E1-2-02>,2016-09-25-17-1
3.7,E1-2C<E1-2-02>,2016-09-25-17-2
3.1,E1-2C<E1-2-02>,2016-09-25-17-3
3.7,E1-2C<E1-2-02>,2016-09-25-17-4
3.9,E1-2C<E1-2-02>,2016-09-25-17-5
3.5,E1-2C<E1-2-02>,2016-09-25-18-0
4.0,E1-2C<E1-2-02>,2016-09-25-18-1
4.3,E1-2C<E1-2-02>,2016-09-25-18-2
4.3,E1-2C<E1-2-02>,2016-09-25-18-3
4.9,E1-2C<E1-2-02>,2016-09-25-18-4
4.5,E1-2C<E1-2-02>,2016-09-25-18-5
4.1,E1-2C<E1-2-03>,2016-09-25-15-0
4.0,E1-2C<E1-2-03>,2016-09-25-15-1
3.5,E1-2C<E1-2-03>,2016-09-25-15-2
4.2,E1-2C<E1-2-03>,2016-09-25-15-3
4.5,E1-2C<E1-2-03>,2016-09-25-15-4
3.8,E1-2C<E1-2-03>,2016-09-25-15-5
4.0,E1-2C<E1-2-03>,2016-09-25-16-0
4.7,E1-2C<E1-2-03>,2016-09-25-16-1
3.8,E1-2C<E1-2-03>,2016-09-25-16-2
4.3,E1-2C<E1-2-03>,2016-09-25-16-3
4.3,E1-2C<E1-2-03>,2016-09-25-16-4
3.0,E1-2C<E1-2-03>,2016-09-25-16-5
3.6,E1-2C<E1-2-03>,2016-09-25-17-0
3.4,E1-2C<E1-2-03>,2016-09-25-17-1
2.3,E1-2C<E1-2-03>,2016-09-25-17-2
2.4,E1-2C<E1-2-03>,2016-09-25-17-3
2.6,E1-2C<E1-2-03>,2016-09-25-17-4
2.1,E1-2C<E1-2-03>,2016-09-25-17-5
2.3,E1-2C<E1-2-03>,2016-09-25-18-0
2.8,E1-2C<E1-2-03>,2016-09-25-18-1
2.8,E1-2C<E1-2-03>,2016-09-25-18-2
3.1,E1-2C<E1-2-03>,2016-09-25-18-3
2.6,E1-2C<E1-2-03>,2016-09-25-18-4
3.4,E1-2C<E1-2-03>,2016-09-25-18-5
20.6,E1-2C<E1-2C-01>,2016-09-25-15-0
18.7,E1-2C<E1-2C-01>,2016-09-25-15-1
16.4,E1-2C<E1-2C-01>,2016-09-25-15-2
18.4,E1-2C<E1-2C-01>,2016-09-25-15-3
19.0,E1-2C<E1-2C-01>,2016-09-25-15-4
18.9,E1-2C<E1-2C-01>,2016-09-25-15-5
20.2,E1-2C<E1-2C-01>,2016-09-25-16-0
20.6,E1-2C<E1-2C-01>,2016-09-25-16-1
22.4,E1-2C<E1-2C-01>,2016-09-25-16-2
23.7,E1-2C<E1-2C-01>,2016-09-25-16-3
20.7,E1-2C<E1-2C-01>,2016-09-25-16-4
18.1,E1-2C<E1-2C-01>,2016-09-25-16-5
17.4,E1-2C<E1-2C-01>,2016-09-25-17-0
17.7,E1-2C<E1-2C-01>,2016-09-25-17-1
17.7,E1-2C<E1-2C-01>,2016-09-25-17-2
18.3,E1-2C<E1-2C-01>,2016-09-25-17-3
17.3,E1-2C<E1-2C-01>,2016-09-25-17-4
17.2,E1-2C<E1-2C-01>,2016-09-25-17-5
17.6,E1-2C<E1-2C-01>,2016-09-25-18-0
18.5,E1-2C<E1-2C-01>,2016-09-25-18-1
19.3,E1-2C<E1-2C-01>,2016-09-25-18-2
21.6,E1-2C<E1-2C-01>,2016-09-25-18-3
22.7,E1-2C<E1-2C-01>,2016-09-25-18-4
21.0,E1-2C<E1-2C-01>,2016-09-25-18-5
4.5,E1-3A<E1-3-01>,2016-09-25-15-0
4.2,E1-3A<E1-3-01>,2016-09-25-15-1
4.8,E1-3A<E1-3-01>,2016-09-25-15-2
4.8,E1-3A<E1-3-01>,2016-09-25-15-3
4.8,E1-3A<E1-3-01>,2016-09-25-15-4
5.7,E1-3A<E1-3-01>,2016-09-25-15-5
5.0,E1-3A<E1-3-01>,2016-09-25-16-0
4.3,E1-3A<E1-3-01>,2016-09-25-16-1
4.9,E1-3A<E1-3-01>,2016-09-25-16-2
4.6,E1-3A<E1-3-01>,2016-09-25-16-3
4.4,E1-3A<E1-3-01>,2016-09-25-16-4
4.2,E1-3A<E1-3-01>,2016-09-25-16-5
4.3,E1-3A<E1-3-01>,2016-09-25-17-0
4.1,E1-3A<E1-3-01>,2016-09-25-17-1
4.5,E1-3A<E1-3-01>,2016-09-25-17-2
4.6,E1-3A<E1-3-01>,2016-09-25-17-3
4.9,E1-3A<E1-3-01>,2016-09-25-17-4
4.7,E1-3A<E1-3-01>,2016-09-25-17-5
4.9,E1-3A<E1-3-01>,2016-09-25-18-0
4.7,E1-3A<E1-3-01>,2016-09-25-18-1
4.5,E1-3A<E1-3-01>,2016-09-25-18-2
4.6,E1-3A<E1-3-01>,2016-09-25-18-3
4.9,E1-3A<E1-3-01>,2016-09-25-18-4
4.8,E1-3A<E1-3-01>,2016-09-25-18-5
15.1,E1-3A<E1-3-02>,2016-09-25-15-0
12.8,E1-3A<E1-3-02>,2016-09-25-15-1
14.4,E1-3A<E1-3-02>,2016-09-25-15-2
15.1,E1-3A<E1-3-02>,2016-09-25-15-3
15.9,E1-3A<E1-3-02>,2016-09-25-15-4
15.4,E1-3A<E1-3-02>,2016-09-25-15-5
15.9,E1-3A<E1-3-02>,2016-09-25-16-0
15.0,E1-3A<E1-3-02>,2016-09-25-16-1
14.9,E1-3A<E1-3-02>,2016-09-25-16-2
14.3,E1-3A<E1-3-02>,2016-09-25-16-3
14.5,E1-3A<E1-3-02>,2016-09-25-16-4
